ID,Name,Country,Source,Date
1641,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,CUBA,US,
1660,"PESCABRAVA, S.A.",CUBA,US,
1700,PRELASA,CUBA,US,
1701,PRENSA LATINA CANADA LTD.,CUBA,US,
1702,PRENSA LATINA,CUBA,US,
1888,"SERVINAVES, S.A.",CUBA,US,
2109,"TROBER, S.A.",CUBA,US,
2110,TROPIC TOURS GMBH,CUBA,US,
2184,"VIAJES GUAMA, S.A.",CUBA,US,
2186,VINALES TOURS,CUBA,US,
2674,"ABBAS, Abu",SDGT,US,
2675,"AL RAHMAN, Shaykh Umar Abd",SDGT,US,
2676,"AL ZAWAHIRI, Dr. Ayman",SDGT,US,
2677,"AL-ZOMOR, Abboud Abdul Latif Hassan",SDGT,US,
2678,"AWDA, Abd Al Aziz",SDGT,US,
2679,"FADLALLAH, Shaykh Muhammad Husayn",SDGT,US,
2681,"HAWATMA, Nayif",SDGT,US,
2682,"ISLAMBOULI, Mohammad Shawqi",SDGT,US,
2683,"JABRIL, Ahmad",SDGT,US,
2685,"NAJI, Talal Muhammad Rashid",SDGT,US,
2686,"NASRALLAH, Hasan",SDGT] [SYRIA,US,
2690,"TUFAYLI, Subhi",SDGT,US,
2691,"YASSIN, Sheik Ahmed Ismail",SDGT,US,
3748,COBALT REFINERY CO. INC.,CUBA,US,
3749,LA COMPANIA GENERAL DE NIQUEL,CUBA,US,
3750,INTERNATIONAL COBALT CO. INC.,CUBA,US,
3751,MOA NICKEL SA,CUBA,US,
3754,"ABU MARZOOK, Mousa Mohammed",SDGT,US,
4107,"RODRIGUEZ OREJUELA, Gilberto Jose",SDNT,US,
4108,"RODRIGUEZ OREJUELA, Miguel Angel",SDNT,US,
4238,MAR AZUL,CUBA,US,
4243,EBANO,CUBA,US,
4249,TIFON,CUBA,US,
4257,"ABDALLAH, Ramadan",SDGT,US,
4632,BANK MARKAZI JOMHOURI ISLAMI IRAN,IRAN] [SDGT] [IRGC] [IFSR,US,
4633,BANK MASKAN,IRAN] [IRAN-EO13902,US,
4635,BANK REFAH KARGARAN,IRAN] [IRAN-EO13902,US,
4639,BANK KESHAVARZI IRAN,IRAN] [IRAN-EO13902,US,
4642,BANK SADERAT PLC,IRAN] [SDGT] [IFSR,US,
4688,ABU SAYYAF GROUP,FTO] [SDGT,US,
4690,ARMED ISLAMIC GROUP,SDGT,US,
4691,AUM SHINRIKYO,SDGT,US,
4693,EUZKADI TA ASKATASUNA,SDGT,US,
4694,GAMA'A AL-ISLAMIYYA,SDGT,US,
4695,HAMAS,FTO] [SDGT,US,
4696,HARAKAT UL-MUJAHIDEEN,FTO] [SDGT,US,
4697,HIZBALLAH,FTO] [SDGT] [SYRIA,US,
4700,KAHANE CHAI,SDGT,US,
4702,KURDISTAN WORKERS' PARTY,SDNTK] [FTO] [SDGT,US,
4703,LIBERATION TIGERS OF TAMIL EELAM,FTO] [SDGT,US,
4706,NATIONAL LIBERATION ARMY,FTO] [SDGT,US,
4707,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,FTO] [SDGT,US,
4708,PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,FTO] [SDGT,US,
4709,POPULAR FRONT FOR THE LIBERATION OF PALESTINE,FTO] [SDGT,US,
4710,POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,FTO] [SDGT,US,
4713,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,FTO] [SDGT,US,
4714,REVOLUTIONARY PEOPLE'S STRUGGLE,SDGT,US,
4715,SHINING PATH,SDNTK] [FTO] [SDGT,US,
4717,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,SDGT,US,
6365,"BIN LADIN, Usama bin Muhammad bin Awad",SDGT,US,
6366,AL QA'IDA,FTO] [SDGT,US,
6367,"AL-MASRI, Abu Hafs",SDGT,US,
6368,"MUSA, Rifa'i Ahmad Taha",SDGT,US,
6531,COLOMBIANA DE CERDOS LTDA.,SDNT,US,
6539,DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,SDNT,US,
6550,MATADERO METROPOLITANO LTDA.,SDNT,US,
6635,"OMAR, Mohammed",SDGT,US,
6636,TALIBAN,SDGT,US,
6663,COMERCIALIZADORA DE CARNES LTDA.,SDNT,US,
6680,SERVIAUTOS UNO A 1A LIMITADA,SDNT,US,
6703,"AMEZCUA CONTRERAS, Jose de Jesus",SDNTK,US,
6704,"AMEZCUA CONTRERAS, Luis Ignacio",SDNTK,US,
6706,"ARELLANO FELIX, Ramon Eduardo",SDNTK,US,
6707,"CARO QUINTERO, Rafael",SDNTK,US,
6708,"CARRILLO FUENTES, Vicente",SDNTK,US,
6709,"CHANG, Chi Fu",SDNTK,US,
6710,"HEATH, Noel Timothy",SDNTK,US,
6712,"OGUNGBUYI, Oluwole A.",SDNTK,US,
6713,"OGUNGBUYI, Abeni O.",SDNTK,US,
6714,"WEI, Hsueh Kang",SDNTK,US,
6715,"ARELLANO FELIX, Benjamin Alberto",SDNTK,US,
6717,"HENAO MONTOYA, Arcangel de Jesus",SDNT,US,
6719,AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,SDNT,US,
6720,COMPANIA AGROINVERSORA HENAGRO LTDA.,SDNT,US,
6721,DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,SDNT,US,
6722,MAQUINARIA TECNICA Y TIERRAS LTDA.,SDNT,US,
6723,ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,SDNT,US,
6724,"GONZALEZ BENITEZ, Olga Patricia",SDNT,US,
6725,ISLAMIC MOVEMENT OF UZBEKISTAN,FTO] [SDGT,US,
6726,CAVIEDES DILEO Y CIA. S.C.S.,SDNT,US,
6823,"PATINO FOMEQUE, Victor Julio",SDNT,US,
6824,INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,SDNT,US,
6826,GALAPAGOS S.A,SDNT,US,
6831,"DUQUE BOTERO, Jorge Alirio",SDNT,US,
6832,"ECHEVERRY HERRERA, Hernando",SDNT,US,
6853,NEW IRISH REPUBLICAN ARMY,FTO] [SDGT,US,
6856,"AFGHAN, Sher",SDNTK,US,
6857,"CARDENAS GUILLEN, Osiel",SDNTK,US,
6858,"CARO QUINTERO, Miguel Angel",SDNTK,US,
6859,"CHANG, Ping Yun",SDNTK,US,
6860,"GILBOA, Joseph",SDNTK,US,
6861,"GUZMAN LOERA, Joaquin",SDNTK,US,
6862,"HAMIEH, Jamiel",SDNTK,US,
6863,"HIGUERA GUERRERO, Ismael",SDNTK,US,
6864,"KHAN, Nasir Ali",SDNTK,US,
6865,"MALHERBE DE LEON, Oscar",SDNTK,US,
6866,"RAMON MAGANA, Alcides",SDNTK,US,
6895,UNITED SELF-DEFENSE FORCES OF COLOMBIA,SDNTK] [SDGT,US,
6896,ASBAT AL-ANSAR,FTO] [SDGT,US,
6897,SALAFIST GROUP FOR CALL AND COMBAT,FTO] [SDGT,US,
6898,LIBYAN ISLAMIC FIGHTING GROUP,SDGT,US,
6899,AL-ITIHAAD AL-ISLAMIYA,SDGT,US,
6900,ISLAMIC ARMY OF ADEN,SDGT,US,
6901,"AL-ADL, Sayf",SDGT,US,
6903,"AL-WALID, Mahfouz Ould",SDGT,US,
6905,"HUSAYN, Zayn al-Abidin Muhammad",SDGT,US,
6906,"AL-IRAQI, Abd al-Hadi",SDGT,US,
6907,"SHIHATA, Thirwat Salah",SDGT,US,
6908,"AHMAD, Tariq Anwar al-Sayyid",SDGT,US,
6910,MAKHTAB AL-KHIDAMAT/AL KIFAH,SDGT,US,
6911,WAFA HUMANITARIAN ORGANIZATION,SDGT,US,
6912,AL RASHID TRUST,SDGT,US,
6913,MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,SDGT,US,
6915,"ABDULLAH, Abdullah Ahmed",SDGT,US,
6916,"ALI, Ahmed Mohammed Hamed",SDGT,US,
6918,"AL-MUGHASSIL, Ahmad Ibrahim",SDGT,US,
6919,"AL-NASSER, Abdelkarim Hussein Mohamed",SDGT,US,
6920,"AL-YACOUB, Ibrahim Salih Mohammed",SDGT,US,
6921,"ATWA, Ali",SDGT,US,
6923,"EL-HOORIE, Ali Saed Bin Ali",SDGT,US,
6924,"FADHIL, Mustafa Mohamed",SDGT,US,
6925,"GHAILANI, Ahmed Khalfan",SDGT,US,
6926,"IZZ-AL-DIN, Hasan",SDGT,US,
6927,"MOHAMMED, Fazul Abdullah",SDGT,US,
6928,"MOHAMMED, Khalid Shaikh",SDGT,US,
6931,"YASIN, Abdul Rahman",SDGT,US,
6932,AL-HAMATI SWEETS BAKERIES,SDGT,US,
6935,JAISH-I-MOHAMMED,FTO] [SDGT,US,
6936,JAM'YAH TA'AWUN AL-ISLAMIA,SDGT,US,
6937,RABITA TRUST,SDGT,US,
6938,"AGHA, Haji Abdul Manan",SDGT,US,
6939,"AL-AHDAL, Mohammad Hamdi Mohammad Sadiq",SDGT,US,
6940,"AL-HAQ, Amin",SDGT,US,
6941,"HAMDAN, Salim Ahmad Salim",SDGT,US,
6944,"AL-SHARIF, Sa'd Abdullah Hussein",SDGT,US,
6945,"BIN MARWAN, Bilal",SDGT,US,
6946,"BIN MUHAMMAD, Ayadi Chafiq",SDGT,US,
6947,"DARKAZANLI, Mamoun",SDGT,US,
6948,"HIJAZI, Riad",SDGT,US,
6950,"UTHMAN, Omar Mahmoud",SDGT,US,
7006,"AWEYS, Hassan Dahir",SDGT,US,
7114,AL-AQSA ISLAMIC BANK,SDGT,US,
7115,BEIT EL-MAL HOLDINGS,SDGT,US,
7116,HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT,SDGT,US,
7132,UMMAH TAMEER E-NAU,SDGT,US,
7133,"MAHMOOD, Sultan Bashir-Ud-Din",SDGT,US,
7135,"MAJEED, Abdul",SDGT,US,
7138,"TUFAIL, Mohammed",SDGT,US,
7140,LASHKAR E-TAYYIBA,FTO] [SDGT,US,
7141,CONTINUITY IRA,FTO] [SDGT,US,
7142,FIRST OF OCTOBER ANTIFASCIST RESISTANCE GROUP,SDGT,US,
7143,LOYALIST VOLUNTEER FORCE,SDGT,US,
7144,ORANGE VOLUNTEERS,SDGT,US,
7145,RED HAND DEFENDERS,SDGT,US,
7146,ULSTER DEFENCE ASSOCIATION,SDGT,US,
7148,"BOULGHITI, Boubekeur",SDGT,US,
7149,REVIVAL OF ISLAMIC HERITAGE SOCIETY,SDGT,US,
7150,"AL-LIBI, Abd al-Muhsin",SDGT,US,
7151,ACCESOS ELECTRONICOS S.A.DE C.V.,SDNTK,US,
7152,"ADMINISTRADORA DE INMUEBLES VIDA, S.A. DE C.V.",SDNTK,US,
7153,"ADP, S.C.",SDNTK,US,
7154,"COMPLEJO TURISTICO OASIS, S.A. DE C.V.",SDNTK,US,
7156,"DISTRIBUIDORA IMPERIAL DE BAJA CALIFORNIA, S.A. DE C.V.",SDNTK,US,
7157,"FARMACIA VIDA SUPREMA, S.A. DE C.V.",SDNTK,US,
7158,"FORPRES, S.C.",SDNTK,US,
7160,GEX EXPLORE S. DE R.L. DE C.V.,SDNTK,US,
7161,"OPERADORA VALPARK, S.A. DE C.V.",SDNTK,US,
7162,"VALPARK, S.A. DE C.V.",SDNTK,US,
7163,"AGUILAR AMAO, Miguel",SDNTK,US,
7164,"AGUIRRE GALINDO, Manuel",SDNTK,US,
7166,"ARELLANO FELIX, Enedina",SDNTK,US,
7167,"FREGOSO AMEZQUITA, Maria Antonieta",SDNTK,US,
7169,"GIL GARCIA, Jose Alejandro",SDNTK,US,
7170,"HERNANDEZ PULIDO, Maria Elda",SDNTK,US,
7172,"MIJARES TRANCOSO, Gilberto",SDNTK,US,
7173,"MORENO MEDINA, Luis Ignacio",SDNTK,US,
7174,"OROPEZA MEDRANO, Francisco Javier",SDNTK,US,
7176,"RAMIREZ AGUIRRE, Sergio Humberto",SDNTK,US,
7177,"TOLEDO CARREJO, Luis Raul",SDNTK,US,
7178,"ABAUNZA MARTINEZ, Javier",SDGT,US,
7179,"ALBERDI URANGA, Itziar",SDGT,US,
7180,"ALCALDE LINARES, Angel",SDGT,US,
7181,"ALBISU IRIARTE, Miguel",SDGT,US,
7182,"ARZALLUS TAPIA, Eusebio",SDGT,US,
7183,"ELCORO AYASTUY, Paulo",SDGT,US,
7184,"FIGAL ARRANZ, Antonio Agustin",SDGT,US,
7185,"GOGEASCOECHEA ARRONATEGUI, Eneko",SDGT,US,
7186,"GOIRICELAYA GONZALEZ, Cristina",SDGT,US,
7187,"IPARRAGUIRRE GUENECHEA, Maria Soledad",SDGT,US,
7188,"MORCILLO TORRES, Gracia",SDGT,US,
7189,"MUGICA GONI, Ainhoa",SDGT,US,
7190,"MUNOA ORDOZGOITI, Alona",SDGT,US,
7191,"NARVAEZ GONI, Juan Jesus",SDGT,US,
7192,"OLARRA GURIDI, Juan Antonio",SDGT,US,
7193,"ORBE SEVILLANO, Zigor",SDGT,US,
7194,"OTEGUI UNANUE, Mikel",SDGT,US,
7195,"PEREZ ARAMBURU, Jon Inaki",SDGT,US,
7196,"SAEZ DE EGUILAZ MURGUIONDO, Carlos",SDGT,US,
7197,"URANGA ARTOLA, Kemen",SDGT,US,
7198,"VILA MICHELENA, Fermin",SDGT,US,
7199,AL-HARAMAIN ISLAMIC FOUNDATION,SDGT,US,
7200,AL-AQSA MARTYRS BRIGADE,FTO] [SDGT,US,
7201,THE AID ORGANIZATION OF THE ULEMA,SDGT,US,
7203,"AOUADI, Mohamed Ben Belgacem",SDGT,US,
7204,"BEN HENI, Lased",SDGT,US,
7205,"BOUCHOUCHA, Mokhtar",SDGT,US,
7207,"ES SAYED, Abdelkader Mahmoud",SDGT,US,
7208,"ESSID, Sami Ben Khemais",SDGT,US,
7209,"AL-FAWAZ, Khalid Abd al-Rahman Hamd",SDGT,US,
7210,"AL-MASRI, Abu Hamza",SDGT,US,
7211,"APAOLAZA SANCHO, Ivan",SDGT,US,
7212,"BERASATEGUI ESCUDERO, Ismael",SDGT,US,
7213,"GALLASTEGUI SODUPE, Lexuri",SDGT,US,
7214,"PALACIOS ALDAY, Gorka",SDGT,US,
7215,"QUINTANA ZORROZUA, Asier",SDGT,US,
7216,"RUBENACH ROIG, Juan Luis",SDGT,US,
7217,"ZUBIAGA BRAVO, Manex",SDGT,US,
7219,ASKATASUNA,SDGT,US,
7220,"DA COSTA, Luis Fernando",SDNTK,US,
7221,"GONZALEZ QUIRARTE, Eduardo",SDNTK,US,
7222,"IBRAHIM, Haji",SDNTK,US,
7223,"KNOWLES, Samuel",SDNTK,US,
7224,"TUITO, Oded",SDNTK,US,
7226,"ZAMBADA GARCIA, Ismael",SDNTK] [ILLICIT-DRUGS-EO14059,US,
7227,BABBAR KHALSA INTERNATIONAL,SDGT,US,
7228,INTERNATIONAL SIKH YOUTH FEDERATION,SDGT,US,
7234,NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,FTO] [SDGT,US,
7235,"SISON, Jose Maria",SDGT,US,
7251,"BEN SOLTANE, Adel",SDGT,US,
7252,"BEN ATTIA, Nabil Ben Mohamed Ben Ali",SDGT,US,
7253,"CHEKKOURI, Yassine",SDGT,US,
7254,"JELASSI, Riadh Ben Belkassem Ben Mohamed",SDGT,US,
7255,"KAMMOUN, Mehdi",SDGT,US,
7256,"KISHK, Samir",SDGT,US,
7257,"MAAROUFI, Tarek Ben Habib Ben Al-Toumi",SDGT,US,
7258,"REMADNA, Abdelhalim",SDGT,US,
7259,"THAER, Mansour",SDGT,US,
7260,"TLILI, Al-Azhar Ben Ammar Ben Abadallah",SDGT,US,
7261,"WADDANI, Habib",SDGT,US,
7262,EASTERN TURKISTAN ISLAMIC MOVEMENT,SDGT,US,
7263,"JULAIDAN, Wa'el Hamza Abd Al-Fatah",SDGT,US,
7264,"BAHAJI, Said",SDGT,US,
7265,"BINALSHIBH, Ramzi Mohammed Abdullah",SDGT,US,
7266,"EL MOTASSADEQ, Mounir",SDGT,US,
7267,"ESSABAR, Zakarya",SDGT,US,
7268,TUNISIAN COMBAT GROUP,SDGT,US,
7269,"GLOBAL RELIEF FOUNDATION, INC.",SDGT,US,
7270,"GLOBAL RELIEF FOUNDATION, INC.",SDGT,US,
7280,JEMAA ISLAMIYAH,FTO] [SDGT,US,
7281,"GOMEZ BUSTAMANTE, Luis Hernando",SDNT,US,
7282,"MONTOYA SANCHEZ, Diego Leon",SDNT,US,
7283,AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.,SDNT,US,
7284,AGROPECUARIA MIRALINDO S.A.,SDNT,US,
7285,ARIZONA S.A.,SDNT,US,
7286,GANADERIA EL VERGEL LTDA.,SDNT,US,
7287,GANADERIAS BILBAO LTDA.,SDNT,US,
7288,INMOBILIARIA EL ESCORIAL LTDA.,SDNT,US,
7289,INMOBILIARIA LINARES LTDA.,SDNT,US,
7290,INMOBILIARIA PASADENA LTDA.,SDNT,US,
7291,INVERSIONES LA QUINTA Y CIA. LTDA.,SDNT,US,
7292,LADRILLERA LA CANDELARIA LTDA.,SDNT,US,
7293,MONTOYA LUNA E HIJOS Y CIA. S.C.S.,SDNT,US,
7294,ORGANIZACION LUIS HERNANDO GOMEZ BUSTAMANTE Y CIA S.C.S.,SDNT,US,
7295,VISCAYA LTDA.,SDNT,US,
7302,"GOMEZ APONTE, Laura Victoria",SDNT,US,
7303,"GOMEZ GOMEZ, Viviana",SDNT,US,
7304,"GOMEZ JARAMILLO, Olga Cecilia",SDNT,US,
7308,"HURTADO ROMERO, Jairo Jose",SDNT,US,
7311,"MENDEZ SALAZAR, John Jairo",SDNT,US,
7313,"MONTOYA SANCHEZ, Eugenio",SDNT,US,
7314,"MONTOYA SANCHEZ, Juan Carlos",SDNT,US,
7316,"RUIZ CASTANO, Maria Helena",SDNT,US,
7317,"ECHEBERRIA SIMARRO, Leire",SDGT,US,
7318,"ECHEGARAY ACHIRICA, Alfonso",SDGT,US,
7319,"IZTUETA BARANDICA, Enrique",SDGT,US,
7320,"VALLEJO FRANCO, Inigo",SDGT,US,
7321,BENEVOLENCE INTERNATIONAL FOUNDATION,SDGT,US,
7322,BENEVOLENCE INTERNATIONAL FUND,SDGT,US,
7323,BOSANSKA IDEALNA FUTURA,SDGT,US,
7324,MOROCCAN ISLAMIC COMBATANT GROUP,SDGT,US,
7325,LAJNAT AL DAAWA AL ISLAMIYYA,SDGT,US,
7326,"SAYADI, Nabil Abdul Salam",SDGT,US,
7328,"ISAMUDDIN, Nurjaman Riduan",SDGT,US,
7329,"ABDURRAHMAN, Mohamad Iqbal",SDGT,US,
7330,STICHTING BENEVOLENCE INTERNATIONAL NEDERLAND,SDGT,US,
7331,LASHKAR I JHANGVI,FTO] [SDGT,US,
7471,"HEKMATYAR, Gulbuddin",SDGT,US,
7472,ANSAR AL-ISLAM,FTO] [SDGT,US,
7473,THE RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS,SDGT,US,
7474,THE SPECIAL PURPOSE ISLAMIC REGIMENT,SDGT,US,
7475,THE ISLAMIC INTERNATIONAL BRIGADE,SDGT,US,
7489,"CHIWENGA, Constantino Guveya",GLOMAG,US,
7513,"MNANGAGWA, Emmerson Dambudzo",GLOMAG,US,
7522,"MUCHINGURI, Oppah Charm Zvipange",GLOMAG,US,
7574,"VALENCIA TRUJILLO, Joaquin Mario",SDNT,US,
7576,BANANERA AGRICOLA S.A.,SDNT,US,
7579,CIA. MINERA DAPA S.A.,SDNT,US,
7580,COMPANIA DE FOMENTO MERCANTIL S.A.,SDNT,US,
7581,CONSTRUCCIONES PROGRESO DEL PUERTO S.A.,SDNT,US,
7583,CREDISA S.A.,SDNT,US,
7584,CRIADERO LA LUISA E.U.,SDNT,US,
7585,DRAGADOS Y MUELLES GAVIOTA LTDA.,SDNT,US,
7589,GRANJA LA SIERRA LTDA.,SDNT,US,
7590,GRAN MUELLE S.A.,SDNT,US,
7593,MIRA E.U.,SDNT,US,
7595,OCCIDENTAL DE PAPELES LTDA.,SDNT,US,
7598,SERVICIO AEREO DE SANTANDER E.U.,SDNT,US,
7600,UNIDAS S.A.,SDNT,US,
7618,"MONTANO ALVAREZ, Luis Hernando",SDNT,US,
7631,TODOBOLSAS Y COLSOBRES,SDNT,US,
7637,AL-AQSA FOUNDATION,SDGT,US,
7638,AL-AQSA E.V.,SDGT,US,
7639,STICHTING AL-AQSA,SDGT,US,
7640,FORENINGEN AL-AQSA,SDGT,US,
7641,AL-AQSA,SDGT,US,
7642,AQSSA SOCIETY YEMEN,SDGT,US,
7643,AL-AQSA FOUNDATION,SDGT,US,
7644,AL-AQSA FOUNDATION,SDGT,US,
7645,AL-AQSA FOUNDATION,SDGT,US,
7647,"ADEMI, Xhevat",BALKANS,US,
7648,"ADILI, Gafur",BALKANS,US,
7649,ALBANIAN NATIONAL ARMY,BALKANS,US,
7650,"ALISPAHIC, Bakir",BALKANS,US,
7651,ARMY OF THE REPUBLIC OF ILIRIDA,BALKANS,US,
7653,"BAJAGIC, Zvonko",BALKANS,US,
7655,"BANOVIC, Predrag",BALKANS,US,
7656,"BEQIRI, Idajet",BALKANS,US,
7657,"BEXHETI, Nuri",BALKANS,US,
7658,BIO CORPORATION,BALKANS,US,
7659,"BJELICA, Milovan",BALKANS,US,
7660,"BLAGOJEVIC, Vidoje",BALKANS,US,
7661,"BLASKIC, Tihomir",BALKANS,US,
7662,"BORAVCANIN, Ljubomir",BALKANS,US,
7664,"BOSKOVSKI, Ljube",BALKANS,US,
7665,"BRDJANIN, Radoslav",BALKANS,US,
7666,"BUTKA, Spiro",BALKANS,US,
7668,"CERKEZ, Mario",BALKANS,US,
7669,"CESIC, Ranko",BALKANS,US,
7670,"CESIC-ROJS, Ljubo",BALKANS,US,
7671,CETNIK RAVNAGORSKI POKRET,BALKANS,US,
7672,"CORIC, Valentin",BALKANS,US,
7673,"DALIPI, Tahir",BALKANS,US,
7674,"DELIC, Hazim",BALKANS,US,
7677,"DOSEN, Damir",BALKANS,US,
7678,"ELSHANI, Gafur",BALKANS,US,
7679,FRONT FOR ALBANIAN NATIONAL UNITY,BALKANS,US,
7680,"FURUNDZIJA, Anto",BALKANS,US,
7681,"FUSTAR, Dusan",BALKANS,US,
7682,"GAJIC-MILOSEVIC, Milica",BALKANS,US,
7683,"GALIC, Stanislav",BALKANS,US,
7686,"GRUBAN, Momcilo",BALKANS,US,
7687,"HABIBI, Skender",BALKANS,US,
7688,"HADZIHASANOVIC, Enver",BALKANS,US,
7689,"HALILI, Nevzat",BALKANS,US,
7691,"HARADINAJ, Daut",BALKANS,US,
7692,"HASANI, Zhavit",BALKANS,US,
7693,"HAXHIREXHA, Kastriot",BALKANS,US,
7695,"IVANOVIC, Milan",BALKANS,US,
7696,"JAKSIC, Marko",BALKANS,US,
7697,"JANKOVIC, Gojko",BALKANS,US,
7698,"JELAVIC, Ante",BALKANS,US,
7699,"JELISIC, Goran",BALKANS,US,
7700,"JOKIC, Dragan",BALKANS,US,
7701,"JOKIC, Miodrag",BALKANS,US,
7704,"KARADZIC, Luka",BALKANS,US,
7705,"KARADZIC, Radovan",BALKANS,US,
7706,"KARADZIC-JOVICEVIC, Sonja",BALKANS,US,
7707,"KNEZEVIC, Dusan",BALKANS,US,
7708,"KORDIC, Dario",BALKANS,US,
7709,"KOS, Milojica",BALKANS,US,
7710,"KOVACEVIC, Vladimir",BALKANS,US,
7712,"KRNOJELAC, Milorad",BALKANS,US,
7713,"KRSTIC, Radislav",BALKANS,US,
7714,"KRYEZIU, Izmet",BALKANS,US,
7715,"KUBURA, Amir",BALKANS,US,
7716,"KUNARAC, Dragoljub",BALKANS,US,
7717,"KVOCKA, Miroslav",BALKANS,US,
7718,"LALOVIC, Dragan",BALKANS,US,
7720,"LIBERATION ARMY OF PRESEVO, MEDVEDJA, AND BUJANOVAC",BALKANS,US,
7721,"LIMAJ, Fatmir",BALKANS,US,
7723,"LLADROVICI, Ramiz",BALKANS,US,
7724,"LUKIC, Milan",BALKANS,US,
7725,"LUKIC, Sredoje",BALKANS,US,
7726,"LUKOVIC, Milorad Ulemek",BALKANS,US,
7727,"LUSHTAKU, Sami",BALKANS,US,
7728,MANCO OIL COMPANY,BALKANS,US,
7729,"MANDIC, Momcilo",BALKANS,US,
7731,"MARKOVIC, Mirjana",BALKANS,US,
7732,"MARKOVIC, Radovac",BALKANS,US,
7733,"MARKU, Ton",BALKANS,US,
7734,"MARTIC, Milan",BALKANS,US,
7735,"MARTINOVIC, Vinko",BALKANS,US,
7736,"MEJAKIC, Zeljko",BALKANS,US,
7737,"MILOSEVIC, Borislav",BALKANS,US,
7738,"MILOSEVIC, Dragomir",BALKANS,US,
7739,"MILOSEVIC, Marija",BALKANS,US,
7740,"MILOSEVIC, Marko",BALKANS,US,
7741,"MILOSEVIC, Milanka",BALKANS,US,
7742,"MILOSEVIC, Slobodan",BALKANS,US,
7743,"MILUTINOVIC, Milan",BALKANS,US,
7744,"MLADIC, Ratko",BALKANS,US,
7745,"MORINA, Xhavit",BALKANS,US,
7746,"MRDJA, Darko",BALKANS,US,
7749,"MUSLIU, Isak",BALKANS,US,
7751,"MUSLIU, Shefqet",BALKANS,US,
7752,"MUSTAFA, Rrustem",BALKANS,US,
7753,"NALETILIC, Mladen",BALKANS,US,
